Country Name,Country Code,Contestant Code,Given Name,Family Name,P1,P2,P3,P4,P5,P6,Total,Award,Extra Awards,Rank,European Rank
Albania,ALB,ALB1,Megi,Reka,0,0,3,0,0,0,3,,,134,89
Albania,ALB,ALB2,Sabrina,Alushi,0,0,0,0,0,0,0,,,192,136
Albania,ALB,ALB3,Dajana,Dokaj,0,0,0,0,0,0,0,,,192,136
Albania,ALB,ALB4,Nijada,Kacmoli,0,0,0,0,0,0,0,,,192,136
Australia,AUS,AUS1,Ruiying,Wu,7,7,0,7,0,7,28,Gold Medal,,17,
Australia,AUS,AUS2,Elizabeth,Yevdokimov,1,1,3,7,0,0,12,Bronze Medal,,65,
Australia,AUS,AUS3,Mikaela,Gray,7,1,1,2,0,0,11,Bronze Medal,,73,
Australia,AUS,AUS4,Eva,Ge,0,1,1,0,2,0,4,,,132,
Austria,AUT,AUT1,Melanie,Mattersberger,0,0,1,4,0,0,5,,,122,79
Austria,AUT,AUT2,Doris,Obermaier,0,4,2,7,0,0,13,Bronze Medal,,58,39
Azerbaijan,AZE,AZE1,Fidan,Garayeva,0,0,2,7,3,0,12,Bronze Medal,,65,46
Azerbaijan,AZE,AZE2,Fidan,Jafarli,0,0,0,0,1,0,1,,,167,119
Azerbaijan,AZE,AZE3,Aysun,Bayramli,2,0,0,0,0,0,2,,,149,102
Azerbaijan,AZE,AZE4,Laman,Aghazada,0,0,0,7,0,0,7,Honourable Mention,,110,74
Belgium,BEL,BEL1,Dora,Chen,7,0,2,6,0,0,15,Silver Medal,,42,27
Belgium,BEL,BEL2,Camille,Coppieters,0,0,0,1,0,0,1,,,167,119
Belgium,BEL,BEL3,Marie,Determe,7,7,0,1,0,0,15,Silver Medal,,42,27
Belgium,BEL,BEL4,Camille,Laloux,2,0,0,0,0,0,2,,,149,102
Bangladesh,BGD,BGD1,Nujhat Ahmed,Disha,4,1,3,7,0,0,15,Silver Medal,,42,
Bangladesh,BGD,BGD2,Arifa,Alam,0,3,0,0,0,0,3,,,134,
