Country Name,Country Code,Contestant Code,Given Name,Family Name,P1,P2,P3,P4,P5,P6,Total,Award,Extra Awards,Rank,European Rank
Albania,ALB,ALB1,Boriana,Gjura,0,2,0,2,0,0,4,,,71,53
Albania,ALB,ALB2,Rega,Kopliku,0,0,0,0,0,0,0,,,104,79
Albania,ALB,ALB3,Bora,Starja,1,0,0,0,0,0,1,,,93,71
Albania,ALB,ALB4,Fjona,Parllaku,0,0,0,0,0,0,0,,,104,79
Belgium,BEL,BEL1,Pauline,Bessemans,0,0,0,0,1,0,1,,,93,71
Belgium,BEL,BEL2,Morine,Delhelle,0,0,0,0,0,0,0,,,104,79
Belgium,BEL,BEL3,France,Gheeraert,0,1,0,2,2,0,5,,,64,48
Belgium,BEL,BEL4,Manon,Mackels,0,0,0,0,0,0,0,,,104,79
Bulgaria,BGR,BGR1,Pavlena,Nenova,7,2,0,5,3,2,19,Silver Medal,,18,15
Bulgaria,BGR,BGR2,Denitsa,Markova,3,0,0,7,7,2,19,Silver Medal,,18,15
Bulgaria,BGR,BGR3,Velina,Ivanova,7,7,0,7,0,3,24,Gold Medal,,10,9
Bulgaria,BGR,BGR4,Violeta,Naydenova,6,1,0,5,7,2,21,Silver Medal,,14,11
Belarus,BLR,BLR1,Irina,Burak,0,0,0,7,7,1,15,Bronze Medal,,30,24
Belarus,BLR,BLR2,Varvara,Kuzmitskaya,4,0,0,0,4,3,11,Bronze Medal,,36,30
Belarus,BLR,BLR3,Alena,Panotchyk,0,0,0,0,3,0,3,,,75,57
Belarus,BLR,BLR4,Darya,Rabtsava,4,7,0,0,7,0,18,Silver Medal,,21,18
Finland,FIN,FIN1,Minna,Hirvonen,0,0,0,0,3,0,3,,,75,57
Finland,FIN,FIN2,Mirjam,Kauppila,0,0,1,4,7,0,12,Bronze Medal,,34,28
Finland,FIN,FIN3,Ella,Tamir,0,0,0,1,3,0,4,,,71,53
Finland,FIN,FIN4,Tara,Vaittinen,0,0,0,0,1,0,1,,,93,71
France,FRA,FRA1,Edwige,Cyffers,1,0,0,1,3,0,5,,,64,48
France,FRA,FRA2,Clara,Ding,0,1,0,1,3,0,5,,,64,48
France,FRA,FRA3,Cécile,Gachet,3,1,0,7,3,1,15,Bronze Medal,,30,24
France,FRA,FRA4,Lucie,Wang,6,0,0,5,0,0,11,Bronze Medal,,36,30
Hungary,HUN,HUN1,Eszter,Kabos,5,2,3,7,7,3,27,Gold Medal,,4,3
Hungary,HUN,HUN2,Ágnes,Kúsz,3,4,0,5,7,2,21,Silver Medal,,14,11
Hungary,HUN,HUN3,Panna,Fekete,2,2,0,3,7,1,15,Bronze Medal,,30,24
Hungary,HUN,HUN4,Szuzina,Gyulai-Nagy,6,2,0,3,0,1,12,Bronze Medal,,34,28
Indonesia,IDN,IDN1,Ambar Vanessa,Sutandar,5,0,0,4,2,0,11,Bronze Medal,,36,
Ireland,IRL,IRL1,Karen,Briscoe,0,0,0,2,1,0,3,,,75,57
Ireland,IRL,IRL2,Ioana,Grigoras,0,0,0,0,0,0,0,,,104,79
Ireland,IRL,IRL3,Anna,Mustata,0,0,0,0,0,0,0,,,104,79
Islamic Republic of Iran,IRN,IRN1,Tina,Behnia,3,2,0,2,3,0,10,Bronze Medal,,45,
Islamic Republic of Iran,IRN,IRN2,Ava,Jahan Biglari,1,1,0,0,3,0,5,,,64,
Islamic Republic of Iran,IRN,IRN3,Rozhin,Nobahari,2,1,0,5,0,1,9,Bronze Medal,,49,
Islamic Republic of Iran,IRN,IRN4,Seyedeh Yasamin,Tabatabaee,2,1,0,2,1,1,7,Bronze Medal,,57,
Italy,ITA,ITA1,Clara,Antonucci,3,0,0,7,7,0,17,Silver Medal,,25,22
Italy,ITA,ITA2,Camilla,Casamento Tumeo,0,7,0,0,3,1,11,Bronze Medal,,36,30
Italy,ITA,ITA3,Federica,Cecchetto,6,7,0,3,3,3,22,Silver Medal,,12,10
Italy,ITA,ITA4,Giulia,Trevisan,3,1,0,7,3,5,19,Silver Medal,,18,15
Japan,JPN,JPN1,Chiaki,Kasahara,5,0,0,7,3,1,16,Silver Medal,,28,
Japan,JPN,JPN2,Eriko,Kurimoto,5,2,0,7,1,1,16,Silver Medal,,28,
Japan,JPN,JPN3,Maya,Ogita,0,1,0,2,6,0,9,Bronze Medal,,49,
Japan,JPN,JPN4,Himena,Okamoto,0,0,0,2,0,0,2,,,83,
Luxembourg,LUX,LUX1,Christina,Meyer,3,0,0,6,1,0,10,Bronze Medal,,45,38
Luxembourg,LUX,LUX2,Tara,Trauthwein,3,0,0,2,0,0,5,,,64,48
Latvia,LVA,LVA1,Pārsla Esmeralda,Sietiņa,0,0,0,0,0,1,1,,,93,71
Latvia,LVA,LVA2,Rebeka Eva,Konute,0,1,0,0,1,0,2,,,83,63
Latvia,LVA,LVA3,Veronika,Vasilevska,0,0,0,0,1,0,1,,,93,71
Latvia,LVA,LVA4,Alise Ella,Pretkalniņa,0,0,0,2,7,0,9,Bronze Medal,,49,41
Republic of Moldova,MDA,MDA1,Nicoleta,Mahu,0,1,0,0,0,0,1,,,93,71
Republic of Moldova,MDA,MDA2,Elvira,Serțevoi,0,0,0,1,1,0,2,,,83,63
Republic of Moldova,MDA,MDA3,Vladlena,Horneț,0,1,0,1,0,0,2,,,83,63
Republic of Moldova,MDA,MDA4,Cătălina,Mămăligă,0,1,0,0,0,1,2,,,83,63
Mexico,MEX,MEX1,Maria Cecilia,Rojas Cuadra,0,2,0,4,2,0,8,Bronze Medal,,53,
Mexico,MEX,MEX2,Olga,Medrano Martin del Campo,2,1,0,3,2,0,8,Bronze Medal,,53,
Mexico,MEX,MEX3,Nayeli,Reyes Moreno,0,2,0,0,7,0,9,Bronze Medal,,49,
Mexico,MEX,MEX4,Sandra Berenice,Mendoza Penunuri,1,0,0,0,0,0,1,,,93,
Netherlands,NLD,NLD1,Eva,NLD1-2014,0,0,0,0,3,0,3,,,75,57
Netherlands,NLD,NLD2,Elise,Sänger,0,0,0,1,2,0,3,,,75,57
Netherlands,NLD,NLD3,Michelle,Sweering,7,1,2,7,7,1,25,Gold Medal,,8,7
Netherlands,NLD,NLD4,Hannah,Teeuw,0,2,0,2,3,0,7,Bronze Medal,,57,44
Norway,NOR,NOR1,Luca Éva,Gazdag,2,0,0,0,0,0,2,,,83,63
Norway,NOR,NOR2,Audhild,Høgåsen,0,0,0,0,1,0,1,,,93,71
Norway,NOR,NOR3,Kari Lovise,Lodsby,0,0,0,4,7,0,11,Bronze Medal,,36,30
Norway,NOR,NOR4,Tuva Sofie,Tveiten,0,0,0,0,0,0,0,,,104,79
Poland,POL,POL1,Katarzyna,Budzik,1,4,0,0,0,1,6,,,60,45
Poland,POL,POL2,Anna,Hoduń,2,7,1,1,0,0,11,Bronze Medal,,36,30
Poland,POL,POL3,Anna,Prochowska,1,0,0,3,6,1,11,Bronze Medal,,36,30
Poland,POL,POL4,Katarzyna,Siennicka,0,0,2,5,3,0,10,Bronze Medal,,45,38
Romania,ROU,ROU1,Simona,Diaconu,7,7,1,3,3,5,26,Gold Medal,,5,4
Romania,ROU,ROU2,Andreea,Măgălie,7,7,0,3,7,2,26,Gold Medal,,5,4
Romania,ROU,ROU3,Silvia-Elena,Pripoae,6,0,0,1,7,4,18,Silver Medal,,21,18
Romania,ROU,ROU4,Maria-Romina,Ivan,7,2,0,0,2,4,15,Bronze Medal,,30,24
Saudi Arabia,SAU,SAU1,Renad,Abu AL Jamal,0,0,0,2,1,0,3,,,75,
Saudi Arabia,SAU,SAU2,Shaden,Alshammari,0,2,0,0,0,0,2,,,83,
Saudi Arabia,SAU,SAU3,Ghufran,Alkhamis,0,0,0,0,0,1,1,,,93,
Saudi Arabia,SAU,SAU4,Ruba,Aldhaheri,1,0,0,0,0,0,1,,,93,
Serbia,SRB,SRB1,Andela,Sarkovic,7,0,6,7,7,4,31,Gold Medal,,3,2
Serbia,SRB,SRB2,Jelena,Trisovic,2,2,0,3,1,0,8,Bronze Medal,,53,42
Serbia,SRB,SRB3,Marijana,Vujadinovic,7,0,0,3,0,0,10,Bronze Medal,,45,38
Serbia,SRB,SRB4,Bogdana,Jelic,6,7,0,5,3,0,21,Silver Medal,,14,11
Switzerland,SUI,SUI1,Annalena,Hofer,0,0,0,0,2,0,2,,,83,63
Switzerland,SUI,SUI2,Barbara,Roos,0,1,0,0,3,0,4,,,71,53
Switzerland,SUI,SUI3,Romina,Som,0,0,0,1,3,1,5,,,64,48
Switzerland,SUI,SUI4,Stefanie,Zbinden,2,2,0,6,6,1,17,Silver Medal,,25,22
Slovenia,SVN,SVN1,Nika,Bedek,0,1,0,0,1,0,2,,,83,63
Slovenia,SVN,SVN2,Lara,Jerman,0,1,0,0,7,0,8,Bronze Medal,,53,42
Slovenia,SVN,SVN3,Tjaša,Košenina,0,1,0,0,0,0,1,,,93,71
Slovenia,SVN,SVN4,Klara,Nosan,0,1,0,0,1,0,2,,,83,63
Türkiye,TUR,TUR1,Elif,Aydın,0,2,0,0,0,1,3,,,75,57
Türkiye,TUR,TUR2,Feyza,Duman,3,2,0,5,7,1,18,Silver Medal,,21,18
Türkiye,TUR,TUR3,Melike Ayşegül,Kara,4,2,2,0,1,2,11,Bronze Medal,,36,30
Türkiye,TUR,TUR4,Başak,Önder,0,2,0,1,3,0,6,,,60,45
Türkiye B,TURB,TURB1,Zehra,Erdem,2,0,0,0,3,2,7,Bronze Medal,,57,
Türkiye B,TURB,TURB2,Çağıl,Kalender,1,2,1,2,0,0,6,,,60,
Türkiye B,TURB,TURB3,Buşra,Mirzamlı,3,2,0,0,0,0,5,,,64,
Türkiye B,TURB,TURB4,Feyza,Yavuz,0,1,0,1,1,0,3,,,75,
Ukraine,UKR,UKR1,Anastasiya,Alokhina,7,7,0,7,0,5,26,Gold Medal,,5,4
Ukraine,UKR,UKR2,Sofiya,Dubova,7,7,7,5,7,7,40,Gold Medal,,1,1
Ukraine,UKR,UKR3,Nataliia,Khotiaintseva,7,1,1,5,7,4,25,Gold Medal,,8,7
Ukraine,UKR,UKR4,Anastasiya,Kucherenko,6,1,0,3,1,0,11,Bronze Medal,,36,30
United Kingdom,UNK,UNK1,Olivia,Aaronson,0,0,0,2,2,0,4,,,71,53
United Kingdom,UNK,UNK2,Katya,Richards,6,0,0,7,7,0,20,Silver Medal,,17,14
United Kingdom,UNK,UNK3,Eloise,Thuey,2,2,0,1,0,1,6,,,60,45
United Kingdom,UNK,UNK4,Kasia,Warburton,6,0,2,7,3,0,18,Silver Medal,,21,18
United States of America,USA,USA1,Danielle,Wang,7,7,7,7,7,0,35,Gold Medal,,2,
United States of America,USA,USA2,Alicia,Weng,1,1,0,7,7,1,17,Silver Medal,,25,
United States of America,USA,USA3,Victoria,Xia,7,0,0,7,7,3,24,Gold Medal,,10,
United States of America,USA,USA4,Rachel,Zhang,7,1,0,7,7,0,22,Silver Medal,,12,
