Country Name,Country Code,Contestant Code,Given Name,Family Name,P1,P2,P3,P4,P5,P6,Total,Award,Extra Awards,Rank,European Rank
Albania,ALB,ALB1,Xhoana,Qosja,1,0,0,0,0,0,1,,,159,122
Albania,ALB,ALB2,Seli,Lulaj,2,0,0,0,0,0,2,,,152,116
Albania,ALB,ALB3,Romelda,Blacëri,7,0,0,0,1,0,8,Honourable Mention,,108,80
Albania,ALB,ALB4,Aleksia,Kolo,7,0,0,0,2,0,9,Honourable Mention,,96,71
Azerbaijan,AZE,AZE1,Javahir,Abbasova,7,0,0,0,1,0,8,Honourable Mention,,108,80
Azerbaijan,AZE,AZE2,Nazrin,Farziyeva,7,1,0,0,0,0,8,Honourable Mention,,108,80
Azerbaijan,AZE,AZE3,Rena,Aliyeva,1,0,0,0,0,0,1,,,159,122
Azerbaijan,AZE,AZE4,Shams,Aliyeva,1,0,0,0,1,0,2,,,152,116
Belgium,BEL,BEL1,Ambre,De Herde,3,0,0,0,0,0,3,,,140,107
Belgium,BEL,BEL2,Léa,Dumont,2,0,0,0,0,0,2,,,152,116
Belgium,BEL,BEL3,Charlotte,Léonard,7,0,0,0,0,0,7,Honourable Mention,,124,94
Belgium,BEL,BEL4,Marie,Peeters,7,0,0,1,1,0,9,Honourable Mention,,96,71
Bulgaria,BGR,BGR1,Zlatina,Mileva,7,0,0,1,1,0,9,Honourable Mention,,96,71
Bulgaria,BGR,BGR2,Irina,Sofronova,7,0,1,0,2,2,12,Bronze Medal,,73,57
Bulgaria,BGR,BGR3,Lyuba,Konova,7,0,0,0,2,2,11,Bronze Medal,,78,59
Bulgaria,BGR,BGR4,Simona,Kukova,7,0,0,1,1,2,11,Bronze Medal,,78,59
Bosnia and Herzegovina,BIH,BIH1,Tijana,Babić,7,3,7,7,1,7,32,Gold Medal,,14,9
Bosnia and Herzegovina,BIH,BIH2,Adisa,Bolić,7,5,0,6,1,6,25,Silver Medal,,21,13
Bosnia and Herzegovina,BIH,BIH3,Elma,Nuhanović,7,0,1,1,1,0,10,Honourable Mention,,87,64
Bosnia and Herzegovina,BIH,BIH4,Lejla,Skelić,7,0,0,0,0,0,7,Honourable Mention,,124,94
Belarus,BLR,BLR1,Yuliya,Kurylenka,7,0,0,0,6,0,13,Bronze Medal,,68,52
Belarus,BLR,BLR2,Arina,Goloubitskaya,7,0,0,0,3,6,16,Bronze Medal,,50,38
Belarus,BLR,BLR3,Hanna,Beleshava,7,0,2,6,1,0,16,Bronze Medal,,50,38
Belarus,BLR,BLR4,Katsiaryna,Maroz,7,0,0,3,1,0,11,Bronze Medal,,78,59
Brazil,BRA,BRA1,Jamille,Rebouças,7,0,0,5,0,0,12,Bronze Medal,,73,
